n,threads,serial_time,parallel_time,speedup
2000,2,0.013408999999999999,0.018254666666666666,0.734551895405741
2000,4,0.012829,0.014514333333333332,0.8838848953907632
2000,8,0.014112666666666667,0.010275666666666667,1.3734064294287476
5000,2,0.07835199999999999,0.087864,0.891741782755167
5000,4,0.08531499999999999,0.07134766666666667,1.1957644024798753
5000,8,0.088828,0.06082766666666667,1.4603223313952534
10000,2,0.33675000000000005,0.3841406666666667,0.8766319976536374
10000,4,0.2969293333333333,0.29064266666666666,1.0216302263489645
10000,8,0.304694,0.23019766666666666,1.3236189767344877
20000,2,1.138168,1.526053,0.7458246862985755
20000,4,1.065015,1.044636,1.0195082306181293
20000,8,1.0613906666666668,0.7590976666666668,1.398226754308734
